product_ID,date,amount,status
p29701675,2021/9/3,2443,IN
p85326385,2019/12/31,1877,OUT
p76147210,2020/7/20,2003,IN
p38749093,2021/1/31,2286,OUT
p54208473,2020/6/4,760,IN
p70916018,2021/2/16,324,IN
p62576139,2020/10/31,1646,OUT
p38565378,2020/3/9,2928,IN
p39997290,2021/7/16,1240,IN
p61512937,2021/6/4,1999,IN
p73916058,2021/11/17,1193,IN
p57818498,2021/10/16,1918,OUT
p41718913,2021/2/7,1085,IN
p39363446,2021/12/10,89,OUT
p28495907,2021/11/3,1998,IN
p72317891,2021/8/3,2743,IN
p45803561,2020/12/8,2639,IN
p93997610,2021/9/28,1067,OUT
p94153231,2021/12/16,908,OUT
p31254316,2020/9/30,2094,IN
p66304293,2021/8/1,340,IN
p77042455,2021/8/6,468,IN
p57068841,2019/12/2,2263,IN
p92680071,2020/1/13,15,IN
p44719997,2020/10/15,532,IN
p79380009,2020/6/22,1296,OUT
p16991902,2021/9/9,1960,IN
p71968514,2020/10/6,434,IN
p75768375,2020/7/21,208,OUT
p79573268,2019/12/13,787,IN
p53297618,2020/12/6,1119,IN
p60231536,2021/8/6,2941,IN
p52414910,2020/8/31,1943,OUT
p74742559,2021/1/18,1851,IN
p98113407,2020/3/30,2040,IN
p81213835,2020/5/20,2047,IN
p22260151,2020/10/17,1023,OUT
p20402813,2021/6/8,1092,IN
p24515423,2021/2/20,416,IN
p81091251,2021/12/21,2452,OUT
p89472988,2021/11/6,2819,IN
p50319677,2020/12/21,1275,IN
p55313254,2020/6/2,382,OUT
p62080629,2020/1/2,1843,OUT
p92240317,2021/7/4,2451,OUT
p86346408,2020/8/13,2836,IN
p91328405,2019/11/11,2470,IN
p44897635,2021/11/10,1865,OUT
p12960013,2020/10/9,656,OUT
p71930385,2020/4/7,2517,IN
p89261072,2020/9/5,2553,IN
p71393235,2020/11/12,2845,OUT
p63398583,2020/8/20,1443,OUT
p80149428,2019/11/9,1706,OUT
p77483170,2020/2/19,674,OUT
p37632437,2020/1/12,2667,OUT
p30888123,2021/1/25,104,IN
p40889244,2021/10/17,2318,IN
p64358024,2020/4/5,272,OUT
p99390277,2021/4/6,2901,IN
p95599341,2020/10/18,1049,OUT
p58291984,2019/12/20,1526,IN
p12110879,2020/4/25,2898,IN
p36173387,2020/8/23,2475,IN
p22573610,2020/10/2,1872,OUT
p34255464,2019/12/4,2170,IN
p47143726,2021/5/15,2073,OUT
p54273477,2019/11/29,881,OUT
p15764764,2020/11/13,1617,OUT
p74332223,2020/12/8,751,OUT
p32464994,2021/3/14,2721,OUT
p31329543,2021/3/21,1051,OUT
p42223471,2021/8/20,2526,OUT
p88966435,2020/7/2,1344,IN
p33009718,2021/1/4,1729,IN
p58434262,2020/5/31,562,IN
p31066182,2020/10/28,646,OUT
p95934411,2020/1/9,2924,IN
p80538765,2020/7/17,1249,IN
p74029055,2021/7/12,116,IN
p68396357,2021/10/24,1175,OUT
p72162182,2020/10/23,2722,OUT
p66126646,2020/4/22,1082,IN
p57194725,2021/10/24,1497,IN
p70810362,2021/12/27,1013,OUT
p68880839,2021/1/20,382,IN
p39236338,2021/2/19,1919,IN
p97770865,2021/4/22,2588,IN
p68697733,2021/4/14,1217,IN
p66670816,2021/11/27,1849,OUT
p39182379,2020/5/5,2641,IN
p73606100,2020/8/8,1395,IN
p71411493,2020/9/18,2845,OUT
p65240587,2021/9/13,2588,OUT
p92465662,2020/10/23,2628,IN
p89976736,2020/2/4,1953,OUT
p78437265,2021/5/4,1538,OUT
p39387039,2021/10/13,2762,OUT
p38234115,2021/3/13,1765,OUT
p67131570,2021/1/30,599,OUT
p23019336,2021/8/28,555,IN
p37398507,2020/12/21,1728,OUT
p46139131,2021/11/1,2321,IN
p18015458,2021/10/16,993,OUT
p14515485,2021/10/2,598,OUT
p73679371,2020/2/19,2320,OUT
p57270832,2020/7/24,2892,IN
p98275441,2020/9/12,1281,OUT
p89459572,2020/12/30,2645,OUT
p41279653,2021/5/18,1359,OUT
p60141271,2020/4/20,59,IN
p32601837,2020/4/16,2203,OUT
p24253981,2021/9/1,1615,IN
p26161430,2020/10/18,415,IN
p92904595,2021/12/6,1773,OUT
p39157266,2021/5/12,1495,OUT
p40737326,2021/5/1,1179,OUT
p41611129,2021/8/28,1875,OUT
p76870024,2021/11/3,619,OUT
p72722429,2019/11/14,907,IN
p63178083,2021/7/20,292,OUT
p25407143,2021/4/4,2005,IN
p74234786,2021/8/30,893,OUT
p84576844,2021/2/18,886,OUT
p61205674,2021/5/23,2849,OUT
p29745461,2020/5/3,2383,OUT
p28776762,2021/2/5,2001,IN
p52932550,2020/12/20,2448,IN
p92401269,2021/8/29,145,IN
p49391623,2021/11/27,1893,OUT
p96179443,2021/5/14,2365,IN
p58579691,2019/11/23,898,IN
p82947196,2021/7/11,423,IN
p79622246,2020/6/30,680,OUT
p14885019,2020/7/26,2576,IN
p95940068,2019/12/17,2137,IN
p98796496,2021/2/7,2273,OUT
p19147682,2021/3/22,1584,OUT
p24897301,2021/12/11,2994,IN
p65759373,2021/1/22,2797,OUT
p99583711,2020/7/20,1363,IN
p89777695,2020/4/24,2225,OUT
p28977444,2019/12/31,1653,IN
p21968374,2020/2/25,1521,OUT
p78711817,2021/4/14,887,OUT
